,Date,cityName,comment,confirmedCount,curedCount,currentConfirmedCount,deadCount,provinceName,provinceShortName,suspectedCount
0,2020-02-04,,,13522,397,,414,Hubei Province,Hubei,0
1,2020-02-04,Wuhan,,6384,306,,313,Hubei Province,Hubei,0
2,2020-02-04,Huanggang,,1422,41,,19,Hubei Province,Hubei,0
3,2020-02-04,Xiaogan,,1120,4,,17,Hubei Province,Hubei,0
4,2020-02-04,Suizhou,,641,3,,6,Hubei Province,Hubei,0
5,2020-02-04,Xiangyang,,632,1,,1,Hubei Province,Hubei,0
6,2020-02-04,Jingzhou,,613,7,,7,Hubei Province,Hubei,0
7,2020-02-04,Yichang,,452,2,,3,Hubei Province,Hubei,0
8,2020-02-04,Yellowstone,,405,9,,2,Hubei Province,Hubei,0
9,2020-02-04,Jingmen,,400,6,,14,Hubei Province,Hubei,0
10,2020-02-04,Xianning,,348,1,,0,Hubei Province,Hubei,0
11,2020-02-04,Ezhou,,332,4,,18,Hubei Province,Hubei,0
12,2020-02-04,Shiyan,,291,6,,0,Hubei Province,Hubei,0
13,2020-02-04,Xiantao,,188,0,,3,Hubei Province,Hubei,0
14,2020-02-04,Enshi,,123,5,,0,Hubei Province,Hubei,0
15,2020-02-04,Tianmen,,117,0,,10,Hubei Province,Hubei,0
16,2020-02-04,Qianjiang,,44,0,,1,Hubei Province,Hubei,0
17,2020-02-04,Shennongjia Forest District,,10,2,,0,Hubei Province,Hubei,0
18,2020-02-04,,,829,62,,0,Zhejiang Province,Zhejiang,0
19,2020-02-04,Wenzhou,,340,28,,0,Zhejiang Province,Zhejiang,0
20,2020-02-04,Hangzhou,,132,6,,0,Zhejiang Province,Zhejiang,0
21,2020-02-04,Taizhou,,115,11,,0,Zhejiang Province,Zhejiang,0
22,2020-02-04,Ningbo,,102,4,,0,Zhejiang Province,Zhejiang,0
23,2020-02-04,Jinhua,,40,6,,0,Zhejiang Province,Zhejiang,0
24,2020-02-04,Shaoxing,,30,3,,0,Zhejiang Province,Zhejiang,0
