geoid,Region,State,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza,pecent complete
State,,New Hampshire,All,2017-18,201805,,,28,286,9.7902097902,143.27764328
State,,New York City,All,2015-16,201629,,,64,972,6.5843621399,97.618498443
State,,Missouri,All,2009-10,201020,,,84,984,8.5365853659,93.231242095
Region,3,,All,2010-11,201134,0,280,280,4662,6.006006006,92.565116153
State,,Kansas,All,2017-18,201820,,,19,496,3.8306451613,105.19458116
State,,Georgia,All,2009-10,201032,,,89,1283,6.9368667186,94.671637734
State,,Indiana,All,2011-12,201204,,,100,1183,8.4530853762,107.86026201
State,,Nebraska,All,2011-12,201210,,,33,322,10.248447205,110.27216569
State,,Ohio,All,2018-19,201909,,,110,2383,4.616030214,115.78153296
State,,Hawaii,All,2016-17,201645,,,22,202,10.891089109,106.41225992
National,,,65 years and older,2017-18,201839,10,2300,2310,37621,6.1401876611,106.90528484
Region,5,,All,2014-15,201504,79,782,861,9524,9.0403191936,113.0165904
State,,South Dakota,All,2012-13,201318,,,11,129,8.5271317829,94.213229898
State,,Montana,All,2014-15,201503,,,20,190,10.526315789,113.07591548
State,,Mississippi,All,2016-17,201727,,,38,608,6.25,109.71981177
Region,3,,All,2010-11,201108,19,550,569,5756,9.8853370396,114.28674573
State,,Georgia,All,2009-10,200948,,,91,1418,6.4174894217,104.63318964
State,,North Dakota,All,2015-16,201609,,,10,123,8.1300813008,108.06254992
State,,Maryland,All,2017-18,201831,,,64,949,6.7439409905,113.91902681
State,,Michigan,All,2015-16,201608,,,165,2007,8.22122571,118.86912757
Region,2,,All,2011-12,201225,0,284,284,4090,6.9437652812,98.542060298
State,,Oklahoma,All,2009-10,200943,,,82,692,11.849710983,99.384976945
State,,Wyoming,All,2015-16,201552,,,4,72,5.5555555556,85.743589744
State,,Louisiana,All,2009-10,201026,,,49,754,6.4986737401,96.388180389
State,,Hawaii,All,2010-11,201110,,,24,213,11.267605634,112.20698694
State,,North Carolina,All,2017-18,201751,,,127,1932,6.5734989648,127.38113265
Region,4,,All,2012-13,201334,1,599,600,10154,5.9090013788,97.453929272
State,,Maryland,All,2017-18,201815,,,74,1009,7.3339940535,121.12149425
State,,New Mexico,All,2016-17,201728,,,20,324,6.1728395062,104.79432975
State,,Oregon,All,2009-10,201024,,,32,577,5.5459272097,93.656464302
State,,New Mexico,All,2017-18,201746,,,22,333,6.6066066066,107.70528336
State,,Ohio,All,2014-15,201505,,,211,2441,8.6439983613,118.59954761
State,,Colorado,All,2010-11,201101,,,39,653,5.9724349158,106.55605871
State,,Vermont,All,2011-12,201202,,,17,128,13.28125,127.57880681
State,,Arizona,All,2015-16,201635,,,48,1036,4.6332046332,114.22030206
State,,South Carolina,All,2014-15,201504,,,88,934,9.4218415418,117.16062276
State,,New Jersey,All,2011-12,201238,,,76,1286,5.9097978227,96.565971574
State,,Rhode Island,All,2013-14,201429,,,11,178,6.1797752809,98.355541455
State,,New York,All,2010-11,201132,,,135,1682,8.0261593341,92.262106288
State,,Texas,All,2017-18,201819,,,242,3664,6.6048034934,114.08514493
State,,Missouri,All,2013-14,201418,,,85,1124,7.5622775801,106.49584971
State,,New Mexico,All,2015-16,201543,,,13,315,4.126984127,101.88337615
Region,8,,All,2009-10,201011,0,140,140,1378,10.159651669,98.347567451
State,,South Carolina,All,2011-12,201142,,,51,774,6.5891472868,97.090280529
State,,Georgia,All,2012-13,201304,,,114,1503,7.5848303393,110.90527787
State,,Wisconsin,All,2016-17,201731,,,47,899,5.2280311457,99.193846414
State,,Indiana,All,2013-14,201423,,,75,1080,6.9444444444,98.469216373
State,,Indiana,All,2017-18,201838,,,56,1140,4.9122807018,103.93972839
State,,New York City,All,2013-14,201412,,,121,1082,11.182994455,108.66585938
State,,Kentucky,All,2013-14,201426,,,69,846,8.1560283688,104.41977204
Region,8,,All,2013-14,201406,8,130,138,1530,9.0196078431,109.19577518
State,,Montana,All,2015-16,201631,,,9,178,5.0561797753,105.93427872
Region,7,,All,2015-16,201603,2,187,189,2664,7.0945945946,113.23075421
State,,New York,All,2015-16,201603,,,156,2042,7.63956905,112.00904937
