"","Date","cityName","confirmedCount","curedCount","deadCount","index","NumNewCases","NumNewDeaths","NumNewRecovery"
"1",2020-02-04,"",20530,718,426,1,20530,426,718
"2",2020-02-05,"",24447,1020,493,2,3917,67,302
"3",2020-02-06,"",28138,1373,564,3,3691,71,353
"4",2020-02-07,"",31264,1753,637,4,3126,73,380
"5",2020-02-08,"",34673,2375,724,5,3409,87,622
"6",2020-02-09,"",37289,2900,813,6,2616,89,525
"7",2020-02-10,"",40262,3551,909,7,2973,96,651
"8",2020-02-11,"",42747,4301,1017,8,2485,108,750
"9",2020-02-12,"",44765,5066,1117,9,2018,100,765
"10",2020-02-13,"",59907,6215,1368,10,15142,251,1149
"11",2020-02-14,"",63950,7092,1382,11,4043,14,877
"12",2020-02-15,"",66581,8494,1524,12,2631,142,1402
"13",2020-02-16,"",68595,9763,1667,13,2014,143,1269
"14",2020-02-17,"",70644,11278,1772,14,2049,105,1515
"15",2020-02-18,"",72532,13003,1872,15,1888,100,1725
"16",2020-02-19,"",74284,14938,2009,16,1752,137,1935
"17",2020-02-20,"",74680,16721,2122,17,396,113,1783
"18",2020-02-21,"",75571,18687,2239,18,891,117,1966
"19",2020-02-22,"",76396,21075,2348,19,825,109,2388
"20",2020-02-23,"",77048,23183,2445,20,652,97,2108
"21",2020-02-24,"",77269,25007,2596,21,221,151,1824
"22",2020-02-25,"",77785,27655,2666,22,516,70,2648
"23",2020-02-26,"",78195,30078,2718,23,410,52,2423
"24",2020-02-27,"",78631,32916,2747,24,436,29,2838
"25",2020-02-28,"",78962,36312,2791,25,331,44,3396
"26",2020-02-29,"",79394,39308,2838,26,432,47,2996
"27",2020-03-01,"",79972,42162,2873,27,578,35,2854
"28",2020-03-02,"",80175,44845,2915,28,203,42,2683
"29",2020-03-03,"",80303,47434,2948,29,128,33,2589
"30",2020-03-04,"",80424,49998,2984,30,121,36,2564
"31",2020-03-05,"",80581,52293,3016,31,157,32,2295
"32",2020-03-06,"",80734,53956,3045,32,153,29,1663
"33",2020-03-07,"",80815,55546,3073,33,81,28,1590
"34",2020-03-08,"",80868,57400,3101,34,53,28,1854
"35",2020-03-09,"",80905,58812,3124,35,37,23,1412
"36",2020-03-10,"",80932,60185,3140,36,27,16,1373
"37",2020-03-11,"",80969,61656,3162,37,37,22,1471
"38",2020-03-12,"",80981,62912,3173,38,12,11,1256
"39",2020-03-13,"",80995,64214,3181,39,14,8,1302
"40",2020-03-14,"",81029,65675,3194,40,34,13,1461
"41",2020-03-15,"",81062,67037,3204,41,33,10,1362
"42",2020-03-16,"",81099,67930,3218,42,37,14,893
"43",2020-03-17,"",81135,68820,3231,43,36,13,890
"44",2020-03-18,"",81202,69777,3242,44,67,11,957
"45",2020-03-19,"",81263,70561,3250,45,61,8,784
"46",2020-03-20,"",81385,71292,3255,46,122,5,731
"47",2020-03-21,"",81457,71885,3261,47,72,6,593
"48",2020-03-22,"",81566,72390,3267,48,109,6,505
"49",2020-03-23,"",81691,72848,3276,49,125,9,458
"50",2020-03-24,"",81806,73303,3283,50,115,7,455
"51",2020-03-25,"",81896,73796,3287,51,90,4,493
"52",2020-02-10,"7th Division of the Corps",1,0,0,1,1,0,0
"53",2020-02-11,"7th Division of the Corps",1,0,0,2,0,0,0
"54",2020-02-12,"7th Division of the Corps",1,0,0,3,0,0,0
"55",2020-02-13,"7th Division of the Corps",1,1,0,4,0,0,1
"56",2020-02-14,"7th Division of the Corps",1,1,0,5,0,0,0
"57",2020-02-15,"7th Division of the Corps",1,1,0,6,0,0,0
"58",2020-02-16,"7th Division of the Corps",1,1,0,7,0,0,0
"59",2020-02-17,"7th Division of the Corps",1,1,0,8,0,0,0
"60",2020-02-18,"7th Division of the Corps",1,1,0,9,0,0,0
"61",2020-02-19,"7th Division of the Corps",1,1,0,10,0,0,0
"62",2020-02-20,"7th Division of the Corps",1,1,0,11,0,0,0
"63",2020-02-21,"7th Division of the Corps",1,1,0,12,0,0,0
"64",2020-02-22,"7th Division of the Corps",1,1,0,13,0,0,0
"65",2020-02-23,"7th Division of the Corps",1,1,0,14,0,0,0
"66",2020-02-24,"7th Division of the Corps",1,1,0,15,0,0,0
"67",2020-02-25,"7th Division of the Corps",1,1,0,16,0,0,0
"68",2020-02-26,"7th Division of the Corps",1,1,0,17,0,0,0
"69",2020-02-27,"7th Division of the Corps",1,1,0,18,0,0,0
"70",2020-02-28,"7th Division of the Corps",1,1,0,19,0,0,0
"71",2020-02-29,"7th Division of the Corps",1,1,0,20,0,0,0
"72",2020-03-01,"7th Division of the Corps",1,1,0,21,0,0,0
"73",2020-03-02,"7th Division of the Corps",1,1,0,22,0,0,0
"74",2020-03-03,"7th Division of the Corps",1,1,0,23,0,0,0
"75",2020-03-04,"7th Division of the Corps",1,1,0,24,0,0,0
"76",2020-03-05,"7th Division of the Corps",1,1,0,25,0,0,0
"77",2020-03-06,"7th Division of the Corps",1,1,0,26,0,0,0
"78",2020-03-07,"7th Division of the Corps",1,1,0,27,0,0,0
"79",2020-03-08,"7th Division of the Corps",1,1,0,28,0,0,0
"80",2020-03-09,"7th Division of the Corps",1,1,0,29,0,0,0
"81",2020-03-10,"7th Division of the Corps",1,1,0,30,0,0,0
"82",2020-03-11,"7th Division of the Corps",1,1,0,31,0,0,0
"83",2020-03-12,"7th Division of the Corps",1,1,0,32,0,0,0
"84",2020-03-13,"7th Division of the Corps",1,1,0,33,0,0,0
"85",2020-03-14,"7th Division of the Corps",1,1,0,34,0,0,0
"86",2020-03-15,"7th Division of the Corps",1,1,0,35,0,0,0
"87",2020-03-16,"7th Division of the Corps",1,1,0,36,0,0,0
"88",2020-03-17,"7th Division of the Corps",1,1,0,37,0,0,0
