Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,timestamp,days_after_initial,days_after_100
Anhui,China,31.8257,117.2264,1/22/20,1,0,0,1/22/20,22,22
Beijing,China,40.1824,116.4142,1/22/20,14,0,0,1/22/20,22,22
Chongqing,China,30.0572,107.874,1/22/20,6,0,0,1/22/20,22,22
Fujian,China,26.0789,117.9874,1/22/20,1,0,0,1/22/20,22,22
Guangdong,China,23.3417,113.4244,1/22/20,26,0,0,1/22/20,22,22
Guangxi,China,23.8298,108.7881,1/22/20,2,0,0,1/22/20,22,22
Guizhou,China,26.8154,106.8748,1/22/20,1,0,0,1/22/20,22,22
Hainan,China,19.1959,109.7453,1/22/20,4,0,0,1/22/20,22,22
Hebei,China,39.549,116.1306,1/22/20,1,0,0,1/22/20,22,22
Henan,China,33.882,113.614,1/22/20,5,0,0,1/22/20,22,22
Hubei,China,30.9756,112.2707,1/22/20,444,17,28,1/22/20,22,22
Hunan,China,27.6104,111.7088,1/22/20,4,0,0,1/22/20,22,22
Jiangsu,China,32.9711,119.455,1/22/20,1,0,0,1/22/20,22,22
Jiangxi,China,27.614,115.7221,1/22/20,2,0,0,1/22/20,22,22
Liaoning,China,41.2956,122.6085,1/22/20,2,0,0,1/22/20,22,22
Macau,China,22.1667,113.55,1/22/20,1,0,0,1/22/20,22,22
Ningxia,China,37.2692,106.1655,1/22/20,1,0,0,1/22/20,22,22
Shandong,China,36.3427,118.1498,1/22/20,2,0,0,1/22/20,22,22
Shanghai,China,31.202,121.4491,1/22/20,9,0,0,1/22/20,22,22
Shanxi,China,37.5777,112.2922,1/22/20,1,0,0,1/22/20,22,22
Sichuan,China,30.6171,102.7103,1/22/20,5,0,0,1/22/20,22,22
Tianjin,China,39.3054,117.323,1/22/20,4,0,0,1/22/20,22,22
Yunnan,China,24.974,101.487,1/22/20,1,0,0,1/22/20,22,22
Zhejiang,China,29.1832,120.0934,1/22/20,10,0,0,1/22/20,22,22
,Japan,36,138,1/22/20,2,0,0,1/22/20,0,-100
,South Korea,36,128,1/22/20,1,0,0,1/22/20,0,-100
,Taiwan*,23.7,121,1/22/20,1,0,0,1/22/20,0,-100
,Thailand,15,101,1/22/20,2,0,0,1/22/20,0,-100
,US,37.0902,-95.7129,1/22/20,1,0,0,1/22/20,0,-100
Anhui,China,31.8257,117.2264,1/23/20,9,0,0,1/23/20,23,23
Beijing,China,40.1824,116.4142,1/23/20,22,0,0,1/23/20,23,23
Chongqing,China,30.0572,107.874,1/23/20,9,0,0,1/23/20,23,23
Fujian,China,26.0789,117.9874,1/23/20,5,0,0,1/23/20,23,23
Gansu,China,37.8099,101.0583,1/23/20,2,0,0,1/23/20,23,23
Guangdong,China,23.3417,113.4244,1/23/20,32,0,2,1/23/20,23,23
Guangxi,China,23.8298,108.7881,1/23/20,5,0,0,1/23/20,23,23
Guizhou,China,26.8154,106.8748,1/23/20,3,0,0,1/23/20,23,23
Hainan,China,19.1959,109.7453,1/23/20,5,0,0,1/23/20,23,23
Hebei,China,39.549,116.1306,1/23/20,1,1,0,1/23/20,23,23
Heilongjiang,China,47.862,127.7615,1/23/20,2,0,0,1/23/20,23,23
Henan,China,33.882,113.614,1/23/20,5,0,0,1/23/20,23,23
Hong Kong,China,22.3,114.2,1/23/20,2,0,0,1/23/20,23,23
Hubei,China,30.9756,112.2707,1/23/20,444,17,28,1/23/20,23,23
Hunan,China,27.6104,111.7088,1/23/20,9,0,0,1/23/20,23,23
Jiangsu,China,32.9711,119.455,1/23/20,5,0,0,1/23/20,23,23
Jiangxi,China,27.614,115.7221,1/23/20,7,0,0,1/23/20,23,23
Jilin,China,43.6661,126.1923,1/23/20,1,0,0,1/23/20,23,23
Liaoning,China,41.2956,122.6085,1/23/20,3,0,0,1/23/20,23,23
Macau,China,22.1667,113.55,1/23/20,2,0,0,1/23/20,23,23
Ningxia,China,37.2692,106.1655,1/23/20,1,0,0,1/23/20,23,23
Shaanxi,China,35.1917,108.8701,1/23/20,3,0,0,1/23/20,23,23
Shandong,China,36.3427,118.1498,1/23/20,6,0,0,1/23/20,23,23
Shanghai,China,31.202,121.4491,1/23/20,16,0,0,1/23/20,23,23
Shanxi,China,37.5777,112.2922,1/23/20,1,0,0,1/23/20,23,23
Sichuan,China,30.6171,102.7103,1/23/20,8,0,0,1/23/20,23,23
Tianjin,China,39.3054,117.323,1/23/20,4,0,0,1/23/20,23,23
Xinjiang,China,41.1129,85.2401,1/23/20,2,0,0,1/23/20,23,23
Yunnan,China,24.974,101.487,1/23/20,2,0,0,1/23/20,23,23
Zhejiang,China,29.1832,120.0934,1/23/20,27,0,0,1/23/20,23,23
,Japan,36,138,1/23/20,2,0,0,1/23/20,1,-100
,South Korea,36,128,1/23/20,1,0,0,1/23/20,1,-100
,Singapore,1.2833,103.8333,1/23/20,1,0,0,1/23/20,0,-100
,Taiwan*,23.7,121,1/23/20,1,0,0,1/23/20,1,-100
,Thailand,15,101,1/23/20,3,0,0,1/23/20,1,-100
